Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Observations	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Observations	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Observations	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Other evaluation	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Other evaluation	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Other evaluation	1	impactXapproach
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Observations	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Attitudes and motivation	Observations	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Observations	1	impactXapproach
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Other evaluation	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Attitudes and motivation	Other evaluation	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Other evaluation	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Observations	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Observations	"Actions and behaviours (e.g.,time on task, enrolment)"	Observations	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Other evaluation	TLEF	Asia 222 and Asia 223 – video dialogues and interviews	Stefania Burk & Ken Bryant	Adriana Briseno	FL/Large TLEF	Completed	2013	"Arts, Faculty of"	Asian Studies	"Asia 222 and 223 were two new team-taught courses offered through Asian Studies starting in Sep 2013. Asia 222 aimed to deepen students’ knowledge of at least two Asian cultures (e.g., India and Japan). The course design project’s goal was to integrate learning experiences that involved intercultural exchange and inquiry into the way students engaged with the course materials and one another through group work (collaborative testing), group projects, and self-/peer-evaluation assessments. Support for developing specific aspects of Asia 222, in particular, was required."	"Lecture, seminar, tutorial, capstone project"	200-400	"Required, Elective"	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Other evaluation	"Actions and behaviours (e.g.,time on task, enrolment)"	Other evaluation	1	impactXapproach
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - short activities	Lifelong learning skills	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - short activities	Attitudes and motivation	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - short activities	Actions and behaviours	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - multi-session activities	Lifelong learning skills	"Active Learning - multi-session activities (e.g., capstone projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - multi-session activities	Attitudes and motivation	"Active Learning - multi-session activities (e.g., capstone projects)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - multi-session activities	Actions and behaviours	"Active Learning - multi-session activities (e.g., capstone projects)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
[INN_IMP.2] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | PBL/case studies	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - multi-session activities	Lifelong learning skills	"Active Learning - multi-session activities (e.g., capstone projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
[INN_IMP.2] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | PBL/case studies	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Active learning - multi-session activities	Actions and behaviours	"Active Learning - multi-session activities (e.g., capstone projects)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - instructor generated	Lifelong learning skills	"Content - instructor generated (e.g., videos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.5] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class content delivery (e.g., demos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - instructor generated	Actions and behaviours	"Content - instructor generated (e.g., videos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - instructor generated	Lifelong learning skills	"Content - instructor generated (e.g., videos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - instructor generated	Actions and behaviours	"Content - instructor generated (e.g., videos)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
[INN_IMP.7] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Online discussion/forums	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Assessment - peer feedback	Lifelong learning skills	"Assessment - peer feedback (e.g., PeerWise, Calibrated Peer Review)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
[INN_IMP.7] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Online discussion/forums	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Assessment - peer feedback	Actions and behaviours	"Assessment - peer feedback (e.g., PeerWise, Calibrated Peer Review)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - student generated	Lifelong learning skills	"Content - student generated (e.g., wiki, seminar)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.9] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Student generated content (e.g., wikis)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Content - student generated	Attitudes and motivation	"Content - student generated (e.g., wiki, seminar)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Assessment - other	Lifelong learning skills	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Assessment - other	Actions and behaviours	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Reflective writing	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Lifelong learning skills	Reflective writing	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Reflective writing	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Secondary data	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Lifelong learning skills	Secondary data	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Secondary data	1	impactXapproach
"[IMP_APP.4] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Motivation (e.g., personal goals)"	Reflective writing	TLEF	Taking Entrepreneurship 101 online	Elizabeth Newton	Adriana Briseno	FL/Large TLEF	Completed	2014	"Business, Sauder School of"	Commerce	"Entrepreneurship 101 (COMM 280) is a university-wide initiative in its first year that teaches entrepreneurial skills to students across the campus and encourages student innovation and business savvy. This project will develop the e-curriculum of the course into an innovative mixed mode format, with half the work being done in person and half done online. The project will involve cross-faculty collaboration in the creation of course content, and student learning will be customized to their unique knowledge history and their own entrepreneurship ventures. The mixed mode format will also allow for future course scaling."	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	"On campus (NOT blended), Online"	Attitudes and motivation	Reflective writing	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Reflective writing	1	impactXapproach
