current_file:.\parsedData\94792123_a2.txt														
1363905654199.00	0.00	 'system'	 'phetFrame'	 'window'	 'resized'	 'width = 1024'	 'height = 768\n']-> <<BEFORE>> first user action!							
1363905912813.00	251.38	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.33\n']-> <<IGNORED!>>								
1363905912833.00	251.40	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.33 Amps\n']-> <<IGNORED!>>								
1363905913337.00	251.91	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 68.12\n']-> 1363905913337:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905913382.00	251.95	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.14\n']-> <<IGNORED!>>								
1363905913402.00	251.97	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.13 Amps\n']-> <<IGNORED!>>								
1363905913889.00	252.46	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 88.12\n']-> 1363905913889:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905913990.00	252.56	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.10\n']-> <<IGNORED!>>								
1363905914035.00	252.60	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.10 Amps\n']-> <<IGNORED!>>								
1363905914398.00	252.97	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 100.0\n']-> 1363905914398:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905914678.00	253.25	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.09 Amps\n']-> <<IGNORED!>>								
1363905914777.00	253.35	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.09\n']-> <<IGNORED!>>								
1363905917535.00	256.10	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 97.5\n']-> 1363905917535:changed.resistorEditor -> None	Build	changeResistance	resistor				
1363905918054.00	256.62	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 100.0\n']-> 1363905918054:changed.resistorEditor -> None	Build	changeResistance	resistor				
pause <1363905918054	#VALUE!	1363905935232> =17178												
1363905937039 <<pause ENDED!>> time before next action = 1807	#VALUE!													
1363905937039.00	275.61	 'user'	 'resistorEditor.slider'	 'editor'	 'startDrag'	 'component = resistor.0'	 'value = 98.75\n']-> <<IGNORED!>>							
1363905937545.00	276.11	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 84.38\n']-> 1363905937545:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905938040.00	276.61	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.21\n']-> <<IGNORED!>>								
1363905938051.00	276.62	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.21 Amps\n']-> <<IGNORED!>>								
1363905938090.00	276.66	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 34.38\n']-> 1363905938090:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905938228.00	276.80	 'model'	 'battery.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938229.00	276.80	 'model'	 'wire.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938230.00	276.80	 'model'	 'wire.1'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938231.00	276.80	 'model'	 'wire.2'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938232.00	276.80	 'model'	 'wire.3'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938232.00	276.80	 'model'	 'wire.4'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938234.00	276.80	 'model'	 'resistor.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938235.00	276.80	 'model'	 'wire.5'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938236.00	276.81	 'model'	 'wire.6'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905938583.00	277.15	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 4622.41\n']-> <<IGNORED!>>								
1363905938599.00	277.17	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 4622.41 Amps\n']-> <<IGNORED!>>								
1363905938605.00	277.17	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 0.0\n']-> 1363905938605:changed.resistorEditor -> fire_started	Revise	changeResistance	resistor				
1363905938742.00	277.31	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 5.11\n']-> <<IGNORED!>>								
1363905939326.00	277.90	 'user'	 'resistorEditor.slider'	 'editor'	 'endDrag'	 'component = resistor.0'	 'value = 0.0\n']-> <<IGNORED!>>							
1363905945659.00	284.23	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 0.1\n']-> 1363905945659:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905945689.00	284.26	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 88.28\n']-> <<IGNORED!>>								
1363905945689.00	284.26	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 8.93\n']-> <<IGNORED!>>								
1363905945690.00	284.26	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 88.28 Amps\n']-> <<IGNORED!>>								
1363905948775.00	287.34	 'model'	 'battery.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948776.00	287.35	 'model'	 'wire.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948777.00	287.35	 'model'	 'wire.1'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948777.00	287.35	 'model'	 'wire.2'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948778.00	287.35	 'model'	 'wire.3'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948778.00	287.35	 'model'	 'wire.4'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948779.00	287.35	 'model'	 'resistor.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948780.00	287.35	 'model'	 'wire.5'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905948780.00	287.35	 'model'	 'wire.6'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905949247.00	287.82	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 1.0\n']-> 1363905949247:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905949277.00	287.85	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 8.98\n']-> <<IGNORED!>>								
1363905949293.00	287.86	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 8.99\n']-> <<IGNORED!>>								
1363905949293.00	287.86	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 8.98 Amps\n']-> <<IGNORED!>>								
1363905960550.00	299.12	 'user'	 'resistorEditor.slider'	 'editor'	 'startDrag'	 'component = resistor.0'	 'value = 1.0\n']-> <<IGNORED!>>							
1363905961112.00	299.68	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 55.62\n']-> 1363905961112:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905961140.00	299.71	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.16\n']-> <<IGNORED!>>								
1363905961140.00	299.71	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905961141.00	299.71	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.16 Amps\n']-> <<IGNORED!>>								
1363905961698.00	300.27	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 50.62\n']-> 1363905961698:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905961761.00	300.33	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.18 Amps\n']-> <<IGNORED!>>								
1363905961885.00	300.45	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.17\n']-> <<IGNORED!>>								
1363905962578.00	301.15	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 49.38\n']-> 1363905962578:changed.resistorEditor -> light_intensity	Revise	changeResistance	resistor				
1363905962842.00	301.41	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.18\n']-> <<IGNORED!>>								
1363905963430.00	302.00	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 50.62\n']-> 1363905963430:changed.resistorEditor -> None	Build	changeResistance	resistor				
1363905964257.00	302.83	 'user'	 'resistorEditor.slider'	 'editor'	 'endDrag'	 'component = resistor.0'	 'value = 50.0\n']-> <<IGNORED!>>							
pause <1363905964257	#VALUE!	1363905977492> =13235												
1363905981198 <<pause ENDED!>> time before next action = 3706	#VALUE!													
1363905981198.00	319.77	 'user'	 'resistorEditor.slider'	 'editor'	 'startDrag'	 'component = resistor.0'	 'value = 50.0\n']-> <<IGNORED!>>							
1363905981969.00	320.54	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 71.25\n']-> 1363905981969:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905982007.00	320.58	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.13\n']-> <<IGNORED!>>								
1363905982009.00	320.58	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.13 Amps\n']-> <<IGNORED!>>								
1363905982401.00	320.97	 'user'	 'resistorEditor.slider'	 'editor'	 'endDrag'	 'component = resistor.0'	 'value = 71.25\n']-> <<IGNORED!>>							
1363905983628.00	322.20	 'user'	 'resistorEditor'	 'editor'	 'deactivated'	 '\n']-> <<IGNORED!>>								
1363905983630.00	322.20	 'system'	 'phetFrame'	 'window'	 'activated'	 '\n']-> <<IGNORED!>>								
1363905983655.00	322.22	 'user'	 'blackProbe'	 'sprite'	 'startDrag'	 'x = 6.9836899224806235'	 'y = 7.697674418604655\n']-> <<IGNORED!>>							
1363905983755.00	322.32	 'model'	 'voltmeterBlackLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905983755:connectionBroken.voltmeterBlackLeadModel -> None	Test	endMeasure	voltmeter					
1363905984181.00	322.75	 'model'	 'voltmeterBlackLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.5'	 'voltageAddon = -1.622306109274096E-5\n']-> 1363905984181:connectionFormed.voltmeterBlackLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905984182.00	322.75	 'user'	 'blackProbe'	 'sprite'	 'drag'	 'x = 7.092217054263569'	 'y = 5.868217054263569\n']-> <<IGNORED!>>							
1363905984638.00	323.21	 'user'	 'blackProbe'	 'sprite'	 'endDrag'	 'x = 7.138728682170546'	 'y = 5.8062015503876\n']-> <<IGNORED!>>							
1363905984681.00	323.25	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905985490.00	324.06	 'user'	 'redProbe'	 'sprite'	 'startDrag'	 'x = 3.575193798449611'	 'y = 5.496124031007756\n']-> <<IGNORED!>>							
1363905985622.00	324.19	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> 1363905985622:connectionBroken.voltmeterRedLeadModel -> None	Test	endMeasure	voltmeter					
1363905985989.00	324.56	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.1'	 'voltageAddon = 2.019208028358625E-5\n']-> <<IGNORED!>>							
1363905986066.00	324.64	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.7302325581395337'	 'y = 7.527131782945744\n']-> <<IGNORED!>>							
1363905986467.00	325.04	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> <<IGNORED!>>								
1363905986485.00	325.05	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -2.1596133067627227E-5\n']-> <<IGNORED!>>							
1363905986490.00	325.06	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905986536.00	325.11	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionBroken'	 'connections = none\n']-> <<IGNORED!>>								
1363905986568.00	325.14	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.916279069767441'	 'y = 4.6744186046511675\n']-> <<IGNORED!>>							
1363905986804.00	325.37	 'model'	 'voltmeterRedLeadModel'	 'modelElement'	 'connectionFormed'	 'connections = branch: wire.6'	 'voltageAddon = -2.1430137111458715E-5\n']-> 1363905986804:connectionFormed.voltmeterRedLeadModel -> deliberate_measure	Test	startMeasure	voltmeter				
1363905987091.00	325.66	 'user'	 'redProbe'	 'sprite'	 'drag'	 'x = 3.869767441860464'	 'y = 5.4031007751938045\n']-> <<IGNORED!>>							
1363905987304.00	325.87	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905987305.00	325.87	 'system'	 'simsharingManager'	 'simsharingManager'	 'sentEvent'	 'messageCount = 400\n']-> <<IGNORED!>>								
1363905987391.00	325.96	 'user'	 'redProbe'	 'sprite'	 'endDrag'	 'x = 3.8387596899224796'	 'y = 5.480620155038766\n']-> <<IGNORED!>>							
1363905988798.00	327.37	 'system'	 'phetFrame'	 'window'	 'deactivated'	 '\n']-> <<IGNORED!>>								
1363905988802.00	327.37	 'user'	 'resistorEditor'	 'editor'	 'activated'	 '\n']-> <<IGNORED!>>								
1363905988852.00	327.42	 'user'	 'resistorEditor.slider'	 'editor'	 'startDrag'	 'component = resistor.0'	 'value = 71.25\n']-> <<IGNORED!>>							
1363905989391.00	327.96	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 33.12\n']-> 1363905989391:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905989584.00	328.15	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.48 Amps\n']-> <<IGNORED!>>								
1363905989602.00	328.17	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.48\n']-> <<IGNORED!>>								
1363905989604.00	328.17	 'model'	 'battery.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989605.00	328.17	 'model'	 'wire.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989605.00	328.17	 'model'	 'wire.1'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989606.00	328.18	 'model'	 'wire.2'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989607.00	328.18	 'model'	 'wire.3'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989607.00	328.18	 'model'	 'wire.4'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989608.00	328.18	 'model'	 'resistor.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989609.00	328.18	 'model'	 'wire.5'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989610.00	328.18	 'model'	 'wire.6'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905989892.00	328.46	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 0.0\n']-> 1363905989892:changed.resistorEditor -> fire_started	Revise	changeResistance	resistor				
1363905990106.00	328.68	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 4622.41\n']-> <<IGNORED!>>								
1363905990112.00	328.68	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 1.09\n']-> <<IGNORED!>>								
1363905990115.00	328.68	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 4622.41 Amps\n']-> <<IGNORED!>>								
1363905991734.00	330.30	 'model'	 'battery.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991735.00	330.30	 'model'	 'wire.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991738.00	330.31	 'model'	 'wire.1'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991738.00	330.31	 'model'	 'wire.2'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991739.00	330.31	 'model'	 'wire.3'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991739.00	330.31	 'model'	 'wire.4'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991740.00	330.31	 'model'	 'resistor.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991741.00	330.31	 'model'	 'wire.5'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905991742.00	330.31	 'model'	 'wire.6'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905992200.00	330.77	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 11.88\n']-> 1363905992200:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905992238.00	330.81	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.76\n']-> <<IGNORED!>>								
1363905992238.00	330.81	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905992239.00	330.81	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.76 Amps\n']-> <<IGNORED!>>								
1363905992772.00	331.34	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 32.5\n']-> 1363905992772:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905992794.00	331.36	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.26\n']-> <<IGNORED!>>								
1363905992805.00	331.37	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.26 Amps\n']-> <<IGNORED!>>								
1363905993285.00	331.85	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 61.88\n']-> 1363905993285:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905993309.00	331.88	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.15\n']-> <<IGNORED!>>								
1363905993330.00	331.90	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.15 Amps\n']-> <<IGNORED!>>								
1363905993813.00	332.38	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 68.12\n']-> 1363905993813:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905993848.00	332.42	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.13 Amps\n']-> <<IGNORED!>>								
1363905993869.00	332.44	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.14\n']-> <<IGNORED!>>								
1363905994415.00	332.98	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 20.62\n']-> 1363905994415:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905994416.00	332.99	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.44 Amps\n']-> <<IGNORED!>>								
1363905994427.00	333.00	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.44\n']-> <<IGNORED!>>								
1363905994931.00	333.50	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 11.25\n']-> 1363905994931:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905994944.00	333.51	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.80\n']-> <<IGNORED!>>								
1363905994965.00	333.53	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.80 Amps\n']-> <<IGNORED!>>								
1363905995532.00	334.10	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 4.38\n']-> 1363905995532:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905995547.00	334.12	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 2.05\n']-> <<IGNORED!>>								
1363905995571.00	334.14	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 2.05 Amps\n']-> <<IGNORED!>>								
1363905995796.00	334.37	 'model'	 'battery.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995797.00	334.37	 'model'	 'wire.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995800.00	334.37	 'model'	 'wire.1'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995801.00	334.37	 'model'	 'wire.2'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995801.00	334.37	 'model'	 'wire.3'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995802.00	334.37	 'model'	 'wire.4'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995803.00	334.37	 'model'	 'resistor.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995803.00	334.37	 'model'	 'wire.5'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905995804.00	334.37	 'model'	 'wire.6'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905996050.00	334.62	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 0.0\n']-> 1363905996050:changed.resistorEditor -> fire_started	Revise	changeResistance	resistor				
1363905996075.00	334.64	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 4622.41\n']-> <<IGNORED!>>								
1363905996079.00	334.65	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 4622.41 Amps\n']-> <<IGNORED!>>								
1363905996180.00	334.75	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 1.09\n']-> <<IGNORED!>>								
1363905996527.00	335.10	 'model'	 'battery.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996528.00	335.10	 'model'	 'wire.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996529.00	335.10	 'model'	 'wire.1'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996530.00	335.10	 'model'	 'wire.2'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996531.00	335.10	 'model'	 'wire.3'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996532.00	335.10	 'model'	 'wire.4'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996533.00	335.10	 'model'	 'resistor.0'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996535.00	335.10	 'model'	 'wire.5'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905996536.00	335.11	 'model'	 'wire.6'	 'connection'	 'fireEnded'	 '\n']-> <<IGNORED!>>								
1363905997011.00	335.58	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 23.75\n']-> 1363905997011:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905997034.00	335.60	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.38\n']-> <<IGNORED!>>								
1363905997055.00	335.62	 'model'	 'voltmeterModel'	 'modelElement'	 'measuredVoltageChanged'	 'voltage = 9.00\n']-> <<IGNORED!>>								
1363905997055.00	335.62	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.37 Amps\n']-> <<IGNORED!>>								
1363905997520.00	336.09	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 35.62\n']-> 1363905997520:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905997601.00	336.17	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.25\n']-> <<IGNORED!>>								
1363905997609.00	336.18	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.25 Amps\n']-> <<IGNORED!>>								
1363905998061.00	336.63	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 56.25\n']-> 1363905998061:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905998179.00	336.75	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.15\n']-> <<IGNORED!>>								
1363905998184.00	336.75	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.15 Amps\n']-> <<IGNORED!>>								
1363905998610.00	337.18	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 70.0\n']-> 1363905998610:changed.resistorEditor -> reading_updated	Revise	changeResistance	resistor				
1363905998732.00	337.30	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.13 Amps\n']-> <<IGNORED!>>								
1363905998946.00	337.52	 'model'	 'battery.0'	 'modelElement'	 'currentChanged'	 'current = 0.09\n']-> <<IGNORED!>>								
1363905999112.00	337.68	 'user'	 'resistorEditor'	 'editor'	 'changed'	 'component = resistor.0'	 'value = 100.0\n']-> 1363905999112:changed.resistorEditor -> None	Build	changeResistance	resistor				
1363905999282.00	337.85	 'model'	 'nonContactAmmeterModel'	 'modelElement'	 'measuredCurrentChanged'	 'current = 0.09 Amps\n']-> <<IGNORED!>>								
1363905999903.00	338.47	 'model'	 'battery.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999904.00	338.47	 'model'	 'wire.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999905.00	338.47	 'model'	 'wire.1'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999906.00	338.48	 'model'	 'wire.2'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999907.00	338.48	 'model'	 'wire.3'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999907.00	338.48	 'model'	 'wire.4'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
1363905999908.00	338.48	 'model'	 'resistor.0'	 'connection'	 'fireStarted'	 '\n']-> <<IGNORED!>>								
